Period,Inst_sector,Inst_sector_code,Descriptor,SNA08TRANS,Asset_liability_code,Values
2015.03,Central government institutions excluding funded social insurance schemes,311,"Financial liabilities Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFL0600,9576
2015.03,Central government institutions excluding funded social insurance schemes,311,Financial liabilities Closing balance financial derivatives,LE00000,AFL0700,1092
2015.03,Central government institutions excluding funded social insurance schemes,311,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,15143
2015.03,Central government institutions excluding funded social insurance schemes,311,Capital Account Closing balances Total non-financial assets,LE00000,AN00000,101511
2015.03,Central government institutions excluding funded social insurance schemes,311,Capital Account Closing balances Produced non-financial assets,LE00000,AN10000,77908
2015.03,Central government institutions excluding funded social insurance schemes,311,Capital Account Closing balances Non-produced non-financial assets,LE00000,AN20000,23603
2015.03,Central government institutions excluding funded social insurance schemes,311,Closing balance net worth,LE00000,B900000,104637
2015.03,Central government institutions excluding funded social insurance schemes,311,Closing balance total liabilities and net worth,LE00000,L000000,224438
2015.03,Central government institutions funded social insurance schemes,312,Closing balance total assets,LE00000,A000000,35528
2015.03,Central government institutions funded social insurance schemes,312,Financial assets Closing balance Total financial assets,LE00000,AFA0000,35386
2015.03,Central government institutions funded social insurance schemes,312,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2015.03,Central government institutions funded social insurance schemes,312,Financial assets Closing balance currency and deposits,LE00000,AFA0200,1449
2015.03,Central government institutions funded social insurance schemes,312,Financial assets Closing balance debt securities,LE00000,AFA0300,21266
2015.03,Central government institutions funded social insurance schemes,312,Financial assets Closing balance loans,LE00000,AFA0400,0
2015.03,Central government institutions funded social insurance schemes,312,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,10121
2015.03,Central government institutions funded social insurance schemes,312,"Financial assets Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFA0600,991
2015.03,Central government institutions funded social insurance schemes,312,Financial assets Closing balance financial derivatives,LE00000,AFA0700,474
2015.03,Central government institutions funded social insurance schemes,312,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,1085
2015.03,Central government institutions funded social insurance schemes,312,Financial liabilities Closing balance Total financial liabilities,LE00000,AFL0000,4314
2015.03,Central government institutions funded social insurance schemes,312,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2015.03,Central government institutions funded social insurance schemes,312,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
2015.03,Central government institutions funded social insurance schemes,312,Financial liabilities Closing balance debt securities,LE00000,AFL0300,0
2015.03,Central government institutions funded social insurance schemes,312,Financial liabilities Closing balance loans,LE00000,AFL0400,3
2015.03,Central government institutions funded social insurance schemes,312,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,0
2015.03,Central government institutions funded social insurance schemes,312,"Financial liabilities Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFL0600,3395
2015.03,Central government institutions funded social insurance schemes,312,Financial liabilities Closing balance financial derivatives,LE00000,AFL0700,129
2015.03,Central government institutions funded social insurance schemes,312,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,786
2015.03,Central government institutions funded social insurance schemes,312,Capital Account Closing balances Total non-financial assets,LE00000,AN00000,142
2015.03,Central government institutions funded social insurance schemes,312,Capital Account Closing balances Produced non-financial assets,LE00000,AN10000,0
2015.03,Central government institutions funded social insurance schemes,312,Capital Account Closing balances Non-produced non-financial assets,LE00000,AN20000,142
2015.03,Central government institutions funded social insurance schemes,312,Closing balance net worth,LE00000,B900000,31214
2015.03,Central government institutions funded social insurance schemes,312,Closing balance total liabilities and net worth,LE00000,L000000,35528
2015.03,Local government institutions,321,Closing balance total assets,LE00000,A000000,95659
2015.03,Local government institutions,321,Financial assets Closing balance Total financial assets,LE00000,AFA0000,15960
2015.03,Local government institutions,321,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2015.03,Local government institutions,321,Financial assets Closing balance currency and deposits,LE00000,AFA0200,1424
2015.03,Local government institutions,321,Financial assets Closing balance debt securities,LE00000,AFA0300,1062
2015.03,Local government institutions,321,Financial assets Closing balance loans,LE00000,AFA0400,1725
2015.03,Local government institutions,321,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,10053
2015.03,Local government institutions,321,"Financial assets Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFA0600,0
2015.03,Local government institutions,321,Financial assets Closing balance financial derivatives,LE00000,AFA0700,255
2015.03,Local government institutions,321,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,1441
2015.03,Local government institutions,321,Financial liabilities Closing balance Total financial liabilities,LE00000,AFL0000,15168
2015.03,Local government institutions,321,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2015.03,Local government institutions,321,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
2015.03,Local government institutions,321,Financial liabilities Closing balance debt securities,LE00000,AFL0300,6375
2015.03,Local government institutions,321,Financial liabilities Closing balance loans,LE00000,AFL0400,5722
2015.03,Local government institutions,321,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,0
2015.03,Local government institutions,321,"Financial liabilities Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFL0600,0
2015.03,Local government institutions,321,Financial liabilities Closing balance financial derivatives,LE00000,AFL0700,515
2015.03,Local government institutions,321,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,2556
2015.03,Local government institutions,321,Capital Account Closing balances Total non-financial assets,LE00000,AN00000,79699
2015.03,Local government institutions,321,Capital Account Closing balances Produced non-financial assets,LE00000,AN10000,49099
2015.03,Local government institutions,321,Capital Account Closing balances Non-produced non-financial assets,LE00000,AN20000,30599
2015.03,Local government institutions,321,Closing balance net worth,LE00000,B900000,80491
2015.03,Local government institutions,321,Closing balance total liabilities and net worth,LE00000,L000000,95659
2015.03,Non-profit institutions serving households,400,Closing balance total assets,LE00000,A000000,30577
2015.03,Non-profit institutions serving households,400,Financial assets Closing balance Total financial assets,LE00000,AFA0000,11898
2015.03,Non-profit institutions serving households,400,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2015.03,Non-profit institutions serving households,400,Financial assets Closing balance currency and deposits,LE00000,AFA0200,5086
2015.03,Non-profit institutions serving households,400,Financial assets Closing balance debt securities,LE00000,AFA0300,473
2015.03,Non-profit institutions serving households,400,Financial assets Closing balance loans,LE00000,AFA0400,1985
2015.03,Non-profit institutions serving households,400,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,1039
2015.03,Non-profit institutions serving households,400,"Financial assets Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFA0600,..
2015.03,Non-profit institutions serving households,400,Financial assets Closing balance financial derivatives,LE00000,AFA0700,72
2015.03,Non-profit institutions serving households,400,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,3243
2015.03,Non-profit institutions serving households,400,Financial liabilities Closing balance Total financial liabilities,LE00000,AFL0000,1634
2015.03,Non-profit institutions serving households,400,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2015.03,Non-profit institutions serving households,400,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
2015.03,Non-profit institutions serving households,400,Financial liabilities Closing balance debt securities,LE00000,AFL0300,C
2015.03,Non-profit institutions serving households,400,Financial liabilities Closing balance loans,LE00000,AFL0400,S
2015.03,Non-profit institutions serving households,400,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,0
2015.03,Non-profit institutions serving households,400,"Financial liabilities Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFL0600,0
2015.03,Non-profit institutions serving households,400,Financial liabilities Closing balance financial derivatives,LE00000,AFL0700,..
2015.03,Non-profit institutions serving households,400,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,C
2015.03,Non-profit institutions serving households,400,Capital Account Closing balances Total non-financial assets,LE00000,AN00000,18679
2015.03,Non-profit institutions serving households,400,Capital Account Closing balances Produced non-financial assets,LE00000,AN10000,8904
2015.03,Non-profit institutions serving households,400,Capital Account Closing balances Non-produced non-financial assets,LE00000,AN20000,9775
2015.03,Non-profit institutions serving households,400,Closing balance net worth,LE00000,B900000,28943
2015.03,Non-profit institutions serving households,400,Closing balance total liabilities and net worth,LE00000,L000000,30577
2015.03,Households,511,Closing balance total assets,LE00000,A000000,1444703
2015.03,Households,511,Financial assets Closing balance Total financial assets,LE00000,AFA0000,848783
2015.03,Households,511,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2015.03,Households,511,Financial assets Closing balance currency and deposits,LE00000,AFA0200,139359
2015.03,Households,511,Financial assets Closing balance debt securities,LE00000,AFA0300,5107
2015.03,Households,511,Financial assets Closing balance loans,LE00000,AFA0400,378
2015.03,Households,511,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,625485
2015.03,Households,511,"Financial assets Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFA0600,78454
2015.03,Households,511,Financial assets Closing balance financial derivatives,LE00000,AFA0700,0
2015.03,Households,511,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,..
2015.03,Households,511,Financial liabilities Closing balance Total financial liabilities,LE00000,AFL0000,171656
2015.03,Households,511,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2015.03,Households,511,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
2015.03,Households,511,Financial liabilities Closing balance debt securities,LE00000,AFL0300,0
2015.03,Households,511,Financial liabilities Closing balance loans,LE00000,AFL0400,171656
2015.03,Households,511,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,0
2015.03,Households,511,"Financial liabilities Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFL0600,0
2015.03,Households,511,Financial liabilities Closing balance financial derivatives,LE00000,AFL0700,0
2015.03,Households,511,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,..
2015.03,Households,511,Capital Account Closing balances Total non-financial assets,LE00000,AN00000,595920
2015.03,Households,511,Capital Account Closing balances Produced non-financial assets,LE00000,AN10000,226620
2015.03,Households,511,Capital Account Closing balances Non-produced non-financial assets,LE00000,AN20000,369300
2015.03,Households,511,Closing balance net worth,LE00000,B900000,1273047
2015.03,Households,511,Closing balance total liabilities and net worth,LE00000,L000000,1444703
2015.03,Rest of the world,611,Closing balance total assets,LE00000,A000000,368160
2015.03,Rest of the world,611,Financial assets Closing balance Total financial assets,LE00000,AFA0000,368160
